id,title,contents,date,category,source
c6040d65-4bfe-4d96-985f-2fc9801b7e3a,《金融股》國票金前3季每股盈餘0.46元,【時報-台北電】國票金(2889)公布前3季財務報告，利息淨收益9.58億元，淨收益54.07億元，稅前淨利24.46億元，本期淨利19.39億元，歸屬於母公司業主淨利15.94億元，基本每股盈餘0.46元。（編輯：邱致馨）,2023/11/21,最新新聞,yahoo
e70082ec-b92b-4e84-860a-b4affdd562cb,《大陸金融》萬達地產到期美元債券 擬延長11個月,【時報-台北電】信報引述交易所公告，萬達地產擬將2024(明)年到期的7.25%美元債券到期日延長至年底12月29日，共延長11個月，本金額為6億美元。,2023/11/21,最新新聞,yahoo
8f6dd49f-8d91-456a-9d26-5333f1e17354,看好明年AST2600滲透率，美系外資重申加碼信驊，目標價3150元,"【財訊快報／記者劉居全報導】美系外資在新出爐的報告中表示，看好信驊(5274)營運進入佳境，AST2600滲透率將一路成長到2024年，重申「加碼」評等，目標價維持3150元。美系外資指出，基於AI(人工智慧)需求強勁，加上英特爾Eagle Stream帶動AST2600拉貨，現階段客戶庫存更加健康，目前信驊B/B(Book to bill ratio)比率接近1，預估信驊第四季營收兩位數成長不變。
展望第四季，美系外資表示，預估信驊出貨量將恢復到歷史正常水準，而伺服器總出貨量也應該趨穩，主要是人工智慧伺服器仍佔據雲端資本支出很大一部分。至於中國大陸市場需求部分，預估到2024年需求仍疲軟。
此外，美系外資表示，看好AST2600滲透率將一路成長到2024年，但新的BMC(遠端控制晶片)拉動主要集中在AST2600。信驊有機會在美國主要市場奪回一些超大規模企業市佔率，持續擴展美國企業客戶。",2023/11/21,最新新聞,yahoo
d201c108-d2eb-44ba-9522-71524700dadb,中國經濟刺激預期提振，新交所鐵礦砂一度上漲1.46%，升至九個月高點,"【財訊快報／劉敏夫】外電報導指出，隨著有關中國最新經濟刺激計畫的更多細節浮出檯面，有關需求的樂觀情緒升溫，推動鐵礦砂價格升至今年2月以來盤中最高水準。繼週一上漲2%之後，鐵礦砂週二在新加坡市場再度上揚，新加坡時間12:14，鐵礦砂價格上漲1.46%，至每噸133.00美元，有機會創下2022年6月以來最高收盤水準。大連鐵礦砂期貨上漲1.93%，上海的鋼鐵期貨合約也走高。
中國官方媒體的一則報導提振了市場情緒，經濟日報在頭版評論文章中指稱，中央上月宣布決定增發1兆元人民幣國債，資金「要用在刀口上」。
此外，外電此前披露，中國監管機構據稱正在起草一份中資房地產商白名單，以進一步改善對頹勢未減的房地產業的融資支持，此舉也顯示監管層正在加大力道提振房地產行業。
Kallanish Commodities Ltd分析師Tomas Gutierrez表示，建築鋼材需求正在回穩，明年行情預料也將改善。
永安期貨在一份報告中指稱，鐵礦砂需求受到部分鋼廠按需採購的推動。不過，天氣變冷可能導致建築材料的季節性需求下降。
此外，一旦澳洲的罷工行動變得更加嚴重並導致供應中斷，這也可能提振鐵礦砂價格。必和必拓在Pilbara的業務有數百名列車司機將於本週五開始罷工活動。",2023/11/21,最新新聞,yahoo
72d3aebe-030f-4dcc-8c58-2d11c6b2b20d,美股大漲台股7連紅，權值股龍頭蓄勢挑戰今年新高,"【財訊快報／方亞申】美股在微軟、輝達上漲帶動下，科技股再度上漲，並帶動道瓊及標普拉升，美元指數急遽轉低，亞洲貨幣急升，週二亞股除日本外全面上漲，台股在台積電(2330)、聯發科(2454)以及AI伺服器代工的緯創(3231)、廣達(2382)、英業達(2356)、技嘉(2376)全面上漲；傳產的塑化及金控股都上漲下，指數大漲1.2%，終場上漲206.23點，收在17416.7點，距離今年高點17463點相當近，成交量3379億元。美國股市在輝達（Nvidia）公佈財報前延續11月來熱絡行情，微軟宣布聘請剛剛離職的OpenAI執行長奧特曼領導旗下新成立人工智慧研究團隊後，投資人對人工智慧的熱情再次成為焦點。微軟股價上漲2.05%，股價再創歷史新高，總市值達2.8兆美元，追近與蘋果的2.95兆美元距離；同時21日即將公布季報的輝達，市場也認為受美國禁令，中國提前大拉貨，預估季報亮麗，股價也創歷史新高，總市值達1.25兆美元，與亞馬遜總市值再度拉近距離。其他包括英特爾、美光、博通等股價續創今年新高，帶領費半指數攻抵3805點，距離今年高點3875點已近；那指也距離今年高點14446點僅1.12%，標普僅剩1.3%就創新高，只有道瓊距離2.39%。市場逐漸對於聯準會停止升息樂觀。四大指數只要站在5日線之上就屬強勢。此外，波音大漲4.6%，延續上週漲勢，阿聯酋航空(Emirates Airline)宣布將從波音購買95架客機。
預期聯準會停止升息，美元指數逆轉下跌至103.5之下，今年以來已屬負報酬，此舉令市場資金湧向風險性資產，歐洲西班牙創今年高點，德股、法股皆在所有均線之上。亞洲日本新創進33年新高後拉回，韓國補漲。倒是中港股市漲幅相對較小。國際油價小幅反彈至77美元附近，通膨壓力下降中。
台股週一外資持續買超，11月以來買超超過1500億元，可能出現今年最大金額買超月份，買超主要對象是台積電、聯電(2303)及金控股富邦金(2881)、中信金(2891)、玉山金(2884)及兆豐金(2886)、三商銀為主官股。週二再加入台塑集團拉升使得指數連續拉出第7根紅線，11月以來若扣除11月10日小跌62點外，其他交易日全部收紅，台幣急升，外資大買，看來這股趨勢要等美股週末感恩節放假才會告一段落。指數上，只要守穩5日線17223點之上，就有機會向今年高點17463點突破。
輝達21日將公布季報，美超微股價已大漲，且輝達股價已提前創新高，台灣的AI伺服器代工廠緯創、廣達、技嘉、英業達等整理過後，可望盤堅。而台積電在費半成分股紛紛大漲下，今年漲幅尚落後費半漲幅約20個百分點，有利補漲聯電亦同。短線資金集中在大股，以及台積電先進封裝供應鏈的弘塑(3131)、辛耘(3583)、萬潤(6187)上。電子龍頭股如國巨(2327)、華通(2313)、智邦(2345)、大立光(3008)、聯發科，同樣也會被回補。
金控股在中信金創新高下，富邦金、國泰金、第一金(2892)、兆豐金等跟進。",2023/11/21,最新新聞,yahoo
175c8fb8-e803-412a-93c0-bfb996a26613,輝達帶動族群表現，美系外資看好AI概念股技嘉、台積電、世芯等,"【財訊快報／記者劉居全報導】NVIDI將在21日盤後公布財報，美系外資在新出爐的AI報告中表示，NVIDIA仍是AI領域中最具指標的個股，假如其財報正向，將有利於帶動族群表現，其中，點名技嘉
( 2376 )
及韓國SK海力士為首選個股。美系外資點看好AI前景個股共有12檔，其中台股中包含有台積電
( 2330 )
、世芯-KY
( 3661 )
、信驊
( 5274 )
、愛普*
( 6531 )
、技嘉、緯創
( 3231 )
、致茂
( 2360 )
、川湖
( 2059 )
、京元電子
( 2449 )
等。美系外資在新出爐報告中也重申技嘉「加碼」評等，目標價維持320元。
美系外資指出，目前市場處在對AI(人工智慧)獲利復甦預期中，但又擔憂需求可持續性，主要考量相關數量成長相當迅速。根據供需檢查和雲端採購進行檢查，AI晶片市場仍然強勁。
美系外資表示，就AI相關個股收益來說，看到亞洲人工智慧概念股正在復甦，假設NVIDIA前景得到肯定，看好相關個股股價仍便宜，將有機會表現勝過大盤。
美系外資表示，人工智慧相關個股的下一步走勢取決於NVIDIA的表現，NVIDIA在21日盤後公布財報，NVIDIA走向牛市或熊市對相關個股有不一樣的影響；如果NVIDIA營收表現優於預期，包含技嘉以及韓國SK海力士將是首選標的。
而美系外資同時也點名看好GPU、HBM、客製化晶片具前景，點名看好個股包括NVIDIA、海力士、世芯-KY、台積電、信驊、愛普*、技嘉、緯創、致茂、川湖、京元電子及日本迪思科。",2023/11/21,最新新聞,yahoo
a7eead04-9248-4fbe-ba51-cb7a29d11460,《半導體》辛耘Q4營收拚高檔續揚 明年成長動能看旺,【時報記者林資傑台北報導】半導體再生晶圓與設備廠辛耘(3583)在本業獲利回升、業外收益創高挹注下，2023年第三季稅後淨利改寫次高、前三季創同期新高。隨著時序步入設備交貨高峰期，10月合併營收改寫次高，法人看好第四季營收有望持穩第三季再拚高，明年首季淡季不淡、全年成長續旺。,2023/11/21,最新新聞,yahoo
61a0b9ed-8213-4057-857f-d8a8d8bdd310,潛力股：長佳,"【財訊快報／記者戴海茜報導】長佳機電(4550)第三季每股盈餘1.26元，創2019年第二季來新高，為歷年同期新高，累計前三季每股盈餘為2.18元。累計前10月營收為15.24億元，年增38%。看好全台運動人口還在持續成長中，各地方政府也積極推動民眾運動養成，相關場館經營的商機仍看增，長佳近年佈局運動場館經營，2022年度相關營收佔比近30%，今年拿下台北市大安運動中心的經營權，相關營收佔比將拉高，未來運動相關事業的營收佔比挑戰50%。
長佳目前經營運動場館包括臺北市中正運動中心、新北市中和、新店和板橋運動中心、桃園蘆竹運動中心及新增大安運動中心加和平籃球場的整修和經營，鎖定的市場仍以北部地區為主。
長佳看好後疫情時代，運動人口回升，相關營收有望重回過去較佳水位，目前在手訂單皆以商辦大樓和廠房的機電工程為主。",2023/11/21,最新新聞,yahoo
302cce9e-9999-4a51-aafc-52aadbd9c33c,潛力股：緯軟,"【財訊快報／記者陳浩寧報導】受惠於中國互聯網龍頭及新能源電動車雙引擎續熱，緯軟(4953)今年前三季營收、獲利皆逐季走高，展望第四季，在雙引擎驅動下，緯軟第四季營收有望持續成長，挑戰單季歷史新高，全年營運將再寫高點。緯軟目前在中國營收比重達69%，較去年增近一成，雖今年以來中國企業在IT投資保守，然緯軟互聯網客戶穩定貢獻，新能源車客戶需求也穩定增長，成為推升今年營運成長的關鍵。
法人預期，新能源仍是緯軟未來成長動能最為強勁的領域，估可維持高雙位數成長，而在AI方面，許多龍頭企業已提出AI大模型的計畫或相關落地應用，公司樂觀看待AI長線發展潛力，目前AI相關營用佔比已達10%，預期會持續提升。",2023/11/21,最新新聞,yahoo
da7f4d25-bb5a-4dfe-a4f5-8e7165a6d9c3,《興櫃股》華凌公開申購價24元,"【時報-台北電】專業中小尺寸工控顯示器製造商華凌光電(6916)初次上市股票承銷案採80％競價拍賣及20％公開申購方式辦理。競價拍賣股數總計5,400張，已於21日完成。華凌表示，本次參與投標的合格標單共917筆，得標筆數236 筆，開標結果的最低得標價格25.78元，最高得標價格45.72元，得標的加權平均價格為26.84元。",2023/11/21,最新新聞,yahoo
